district_id,district_name,state,parent_district,child_district,event_type,effective_year,source,confidence_score
dd2d53d2e895,Andaman,Andaman and Nicobar Islands,Andaman And Nicobar Islands,Andaman,NEW_DISTRICT,1974,1grK3qO2fTYxLo1Eo4byTIz00gyd5fBhd.csv,1.0
7843a17099d2,Nicobar,Andaman and Nicobar Islands,Andaman And Nicobar Islands,Nicobar,NEW_DISTRICT,1974,1grK3qO2fTYxLo1Eo4byTIz00gyd5fBhd.csv,1.0
a2fc9a0c9793,North & Middle Andaman,Andaman and Nicobar Islands,Andamans,North & Middle Andaman,NEW_DISTRICT,2006,1grK3qO2fTYxLo1Eo4byTIz00gyd5fBhd.csv,1.0
0f7c4bd0e907,South Andaman,Andaman and Nicobar Islands,Andamans,South Andaman,NEW_DISTRICT,2006,1grK3qO2fTYxLo1Eo4byTIz00gyd5fBhd.csv,1.0
b4e883dc5a1e,Ongole,Andhra Pradesh,Nellore,Ongole,NEW_DISTRICT,1970,1grK3qO2fTYxLo1Eo4byTIz00gyd5fBhd.csv,1.0
78b9a7cf8619,Vizianagaram,Andhra Pradesh,Visakhapatnam And Srikakulam,Vizianagaram,NEW_DISTRICT,1979,1grK3qO2fTYxLo1Eo4byTIz00gyd5fBhd.csv,1.0
ff073b081084,Alluri Sitharama Raju,Andhra Pradesh,"East Godavari, Visakhapatnam, Vizianagaram.",Alluri Sitharama Raju,NEW_DISTRICT,2022,1grK3qO2fTYxLo1Eo4byTIz00gyd5fBhd.csv,1.0
b6a98698a54b,Anakapalli,Andhra Pradesh,Visakhapatnam,Anakapalli,NEW_DISTRICT,2022,1grK3qO2fTYxLo1Eo4byTIz00gyd5fBhd.csv,1.0
84ce0074c31c,Annamayya,Andhra Pradesh,"Chittoor, Ysr",Annamayya,NEW_DISTRICT,2022,1grK3qO2fTYxLo1Eo4byTIz00gyd5fBhd.csv,1.0
55cfdfe4f742,Bapatla,Andhra Pradesh,Guntur,Bapatla,NEW_DISTRICT,2022,1grK3qO2fTYxLo1Eo4byTIz00gyd5fBhd.csv,1.0
f9705eed08f8,Dr. B. R. Ambedkar Konaseema,Andhra Pradesh,East Godavari,Dr. B. R. Ambedkar Konaseema,NEW_DISTRICT,2022,1grK3qO2fTYxLo1Eo4byTIz00gyd5fBhd.csv,1.0
