event_id,event_type,effective_year,event_date_est,event_date_precision,evidence_status,confidence,source,parent_ck,child_ck
001b4f47-1e20-4917-98f6-b25a7138951c,NEW_DISTRICT,2022,2022-01-01,YEAR,OBSERVED,1.00,55cfdfe4f742,,
0022f420-a92f-43f6-ab84-be7419e53e73,NEW_DISTRICT,1954,1954-01-01,YEAR,OBSERVED,1.00,b2632b5e280f,,
00525c22-1a80-41d1-aa8b-bc70ed994752,NEW_DISTRICT,1973,1973-01-01,YEAR,OBSERVED,1.00,2b79d83f649f,IND-000364,IND-000447
00772328-768d-49cb-84f3-f70debc83d68,RENAME,1951,1951-01-01,YEAR,OBSERVED,1.00,6fb99b896e3f,,
009aa08c-0639-4867-9e65-a4222fcedb37,NEW_DISTRICT,1972,1972-01-01,YEAR,OBSERVED,1.00,89ac354e410c,IND-000108,IND-000432
00f07bb3-21fa-4456-820c-128f80d764ae,SPLIT,1953,1953-01-01,YEAR,OBSERVED,1.00,bf032fc974f4,,
00fd30f3-159b-4782-89b2-05a3f3e8e632,SPLIT,1973,1973-01-01,YEAR,OBSERVED,1.00,5b6909bd75f0,,
010a97d3-a255-4fd8-a610-fa81e819f64c,NEW_DISTRICT,1956,1956-01-01,YEAR,OBSERVED,1.00,c8bb874c5a82,IND-000143,IND-000322
010b7fd8-bc16-4959-bb0c-5ad3acba19e5,NEW_DISTRICT,2022,2022-01-01,YEAR,OBSERVED,1.00,b6a98698a54b,,
0110aee8-99a8-4d53-b456-593c60f4a4d2,SPLIT,1957,1957-01-01,YEAR,OBSERVED,1.00,dc9df79db7fd,IND-000212,IND-000335
01c15e1c-06f7-4669-bba3-c4d9cd16f90f,SPLIT,2008,2008-01-01,YEAR,OBSERVED,1.00,e4a13c208675,,
0241db55-cbcc-471a-97c1-8fef3f4df2eb,SPLIT,2001,2001-01-01,YEAR,OBSERVED,1.00,f66c0c2624fc,,
02426a43-405f-4db0-b68f-ef5e75b9c7f9,SPLIT,1972,1972-01-01,YEAR,OBSERVED,1.00,6826a0c48f75,,
02617eb3-e659-4a95-89bf-7b6abb75b754,SPLIT,1991,1991-01-01,YEAR,OBSERVED,1.00,a02245047984,,
0271f61f-a9fe-43da-80e2-50c0b02ec05d,NEW_DISTRICT,1992,1992-01-01,YEAR,OBSERVED,1.00,20fec8578abc,IND-000601,IND-000600
029b70dc-ef7e-45b7-8a28-f815036b0677,SPLIT,1972,1972-01-01,YEAR,OBSERVED,1.00,1186f45163b1,,
02cd6089-51cd-43d0-9c64-a967f6d14876,SPLIT,2015,2015-01-01,YEAR,OBSERVED,1.00,5f20d8e2bd1f,,
04af41e0-082f-4f6c-a530-5973f35c0b8d,SPLIT,2016,2016-01-01,YEAR,OBSERVED,1.00,aabb4b039d80,IND-000816,IND-000825
04c1734d-f090-4535-81c8-a5bd38e42035,SPLIT,1987,1987-01-01,YEAR,OBSERVED,1.00,a81385c4fd55,,
