event_id,event_type,effective_year,source_ck,source_district_name,source_state,target_ck,target_district_name,target_state,source_snapshot_id,target_snapshot_id,source_area_before_km2,target_area_before_km2,source_area_after_km2,target_area_after_km2,area_transferred_km2,area_received_km2,area_relinquished_km2,raw_transfer_weight,statistical_weight,coverage_score,overlap_excess,area_measurement_method,measurement_status,crosswalk_status,relationship_type,evidence_type,confidence,normalization_method,distribution_assumption,pipeline_run_id,area_retained_km2,overlap_area_km2,unaccounted_area_km2,net_source_area_change_km2,net_target_area_change_km2
001b4f47-1e20-4917-98f6-b25a7138951c,NEW_DISTRICT,2022,,,,,,,,,,,,,,,,,,,,,UNMEASURED,UNMEASURED,,,,,,149f2020-a4d9-4dff-a50f-44da4f58f1cd,0.0,0.0,,,
0022f420-a92f-43f6-ab84-be7419e53e73,NEW_DISTRICT,1954,,,,,,,,,,,,,,,,,,,,,UNMEASURED,UNMEASURED,,,,,,149f2020-a4d9-4dff-a50f-44da4f58f1cd,0.0,0.0,,,
00525c22-1a80-41d1-aa8b-bc70ed994752,NEW_DISTRICT,1973,IND-000364,Karnal,Haryana,IND-000447,Kurukshetra,Haryana,2095,2577,7765.213542005201,,3819.800352357889,3945.507444718086,3945.4587274148444,3945.4587274148444,3945.4587274148444,0.508094040952287,0.32989274072491975,1.0,0.5401795136073031,AREA_WEIGHTED,MEASURED,MEASURED_NORMALIZED,FORMED_FROM,,1.00,PROPORTIONAL_APPORTIONMENT,Weights normalized (pre-normalization sum=1.540) due to overlapping target geometries detected in crosswalk_errors,149f2020-a4d9-4dff-a50f-44da4f58f1cd,3819.800352357889,4194.609274177213,-0.04553776753255079,-3945.413189647312,3945.507444718086
00772328-768d-49cb-84f3-f70debc83d68,RENAME,1951,,,,,,,,,,,,,,,,,,,,,NON_SPATIAL,UNMEASURED,,,,,,149f2020-a4d9-4dff-a50f-44da4f58f1cd,0.0,0.0,,,
009aa08c-0639-4867-9e65-a4222fcedb37,NEW_DISTRICT,1972,IND-000108,Shahabad,Bihar,IND-000432,Bhojpur,Bihar,585,2491,11320.00803793858,,,4094.9306682466026,4094.8693752859585,4094.8693752859585,4094.8693752859585,0.36173732046498186,0.2501998413498806,1.0,0.4457935645096063,AREA_WEIGHTED,MEASURED,MEASURED_NORMALIZED,FORMED_FROM,,1.00,PROPORTIONAL_APPORTIONMENT,Weights normalized (pre-normalization sum=1.446) due to overlapping target geometries detected in crosswalk_errors,149f2020-a4d9-4dff-a50f-44da4f58f1cd,0.0,5046.386733510034,7225.138662652622,,4094.9306682466026
00f07bb3-21fa-4456-820c-128f80d764ae,SPLIT,1953,,,,,,,,,,,,,,,,,,,,,UNMEASURED,UNMEASURED,,,,,,149f2020-a4d9-4dff-a50f-44da4f58f1cd,0.0,0.0,,,
00fd30f3-159b-4782-89b2-05a3f3e8e632,SPLIT,1973,,,,,,,,,,,,,,,,,,,,,UNMEASURED,UNMEASURED,,,,,,149f2020-a4d9-4dff-a50f-44da4f58f1cd,0.0,0.0,,,
010a97d3-a255-4fd8-a610-fa81e819f64c,NEW_DISTRICT,1956,IND-000143,Jammu and Kashmir,Jammu and Kashmir,IND-000322,Ladakh,Jammu and Kashmir,708,1824,,,,96362.68229164062,,,,,,0.0,,UNMEASURED,UNMEASURED,UNMEASURED,FORMED_FROM,,1.00,NONE,No geometric data available for this lineage pair,149f2020-a4d9-4dff-a50f-44da4f58f1cd,0.0,0.0,,,96362.68229164062
010b7fd8-bc16-4959-bb0c-5ad3acba19e5,NEW_DISTRICT,2022,,,,,,,,,,,,,,,,,,,,,UNMEASURED,UNMEASURED,,,,,,149f2020-a4d9-4dff-a50f-44da4f58f1cd,0.0,0.0,,,
0110aee8-99a8-4d53-b456-593c60f4a4d2,SPLIT,1957,IND-000212,Malabar,Madras,IND-000335,Kozhikode,Kerala,1038,1897,12789.189098051245,,,6574.145904678048,6573.846948370346,6573.846948370346,6573.846948370346,0.5140159315786516,0.3705636849384977,1.0,0.387119009419292,AREA_WEIGHTED,MEASURED,MEASURED_NORMALIZED,SPLIT_FROM,,1.00,PROPORTIONAL_APPORTIONMENT,Weights normalized (pre-normalization sum=1.387) due to overlapping target geometries detected in crosswalk_errors,149f2020-a4d9-4dff-a50f-44da4f58f1cd,0.0,4950.938214913606,6215.3421496809,,6574.145904678048
