event_id,source_event_id,event_type,effective_year,event_date_est,event_date_precision,district_id,district_name,state,parent_district,child_district,source,confidence_score,event_status,pipeline_run_id
001b4f47-1e20-4917-98f6-b25a7138951c,55cfdfe4f742,NEW_DISTRICT,2022,2022-01-01,YEAR,,,Andhra Pradesh,Guntur,,55cfdfe4f742,1.00,CONFIRMED,149f2020-a4d9-4dff-a50f-44da4f58f1cd
0022f420-a92f-43f6-ab84-be7419e53e73,b2632b5e280f,NEW_DISTRICT,1954,1954-01-01,YEAR,,,Assam,Balipara Frontier Tract,,b2632b5e280f,1.00,CONFIRMED,149f2020-a4d9-4dff-a50f-44da4f58f1cd
00525c22-1a80-41d1-aa8b-bc70ed994752,2b79d83f649f,NEW_DISTRICT,1973,1973-01-01,YEAR,Kurukshetra,Kurukshetra,Haryana,Karnal,Kurukshetra,2b79d83f649f,1.00,CONFIRMED,149f2020-a4d9-4dff-a50f-44da4f58f1cd
00772328-768d-49cb-84f3-f70debc83d68,6fb99b896e3f,RENAME,1951,1951-01-01,YEAR,,,Assam,Tirap Frontier Tract,,6fb99b896e3f,1.00,CONFIRMED,149f2020-a4d9-4dff-a50f-44da4f58f1cd
009aa08c-0639-4867-9e65-a4222fcedb37,89ac354e410c,NEW_DISTRICT,1972,1972-01-01,YEAR,Bhojpur,Bhojpur,Bihar,Shahabad,Bhojpur,89ac354e410c,1.00,CONFIRMED,149f2020-a4d9-4dff-a50f-44da4f58f1cd
00f07bb3-21fa-4456-820c-128f80d764ae,bf032fc974f4,SPLIT,1953,1953-01-01,YEAR,Khammam,Khammam,Hyderabad,Warangal,Khammam,bf032fc974f4,1.00,CONFIRMED,149f2020-a4d9-4dff-a50f-44da4f58f1cd
00fd30f3-159b-4782-89b2-05a3f3e8e632,5b6909bd75f0,SPLIT,1973,1973-01-01,YEAR,Mon,Mon,Nagaland,Tuensang,Mon,5b6909bd75f0,1.00,CONFIRMED,149f2020-a4d9-4dff-a50f-44da4f58f1cd
010a97d3-a255-4fd8-a610-fa81e819f64c,c8bb874c5a82,NEW_DISTRICT,1956,1956-01-01,YEAR,Ladakh,Ladakh,Jammu and Kashmir,Jammu and Kashmir,Ladakh,c8bb874c5a82,1.00,CONFIRMED,149f2020-a4d9-4dff-a50f-44da4f58f1cd
010b7fd8-bc16-4959-bb0c-5ad3acba19e5,b6a98698a54b,NEW_DISTRICT,2022,2022-01-01,YEAR,,,Andhra Pradesh,Visakhapatnam,,b6a98698a54b,1.00,CONFIRMED,149f2020-a4d9-4dff-a50f-44da4f58f1cd
0110aee8-99a8-4d53-b456-593c60f4a4d2,dc9df79db7fd,SPLIT,1957,1957-01-01,YEAR,Kozhikode,Kozhikode,Madras,Malabar,Kozhikode,dc9df79db7fd,1.00,CONFIRMED,149f2020-a4d9-4dff-a50f-44da4f58f1cd
01c15e1c-06f7-4669-bba3-c4d9cd16f90f,e4a13c208675,SPLIT,2008,2008-01-01,YEAR,Pratapgarh,Pratapgarh,Rajasthan,Chittaurgarh,Pratapgarh,e4a13c208675,1.00,CONFIRMED,149f2020-a4d9-4dff-a50f-44da4f58f1cd
0241db55-cbcc-471a-97c1-8fef3f4df2eb,f66c0c2624fc,SPLIT,2001,2001-01-01,YEAR,Simdega,Simdega,Jharkhand,Gumla,Simdega,f66c0c2624fc,1.00,CONFIRMED,149f2020-a4d9-4dff-a50f-44da4f58f1cd
02426a43-405f-4db0-b68f-ef5e75b9c7f9,6826a0c48f75,SPLIT,1972,1972-01-01,YEAR,,,Bihar,Muzaffarpur,,6826a0c48f75,1.00,CONFIRMED,149f2020-a4d9-4dff-a50f-44da4f58f1cd
02617eb3-e659-4a95-89bf-7b6abb75b754,a02245047984,SPLIT,1991,1991-01-01,YEAR,,,Rajasthan,Jaipur,,a02245047984,1.00,CONFIRMED,149f2020-a4d9-4dff-a50f-44da4f58f1cd
0271f61f-a9fe-43da-80e2-50c0b02ec05d,20fec8578abc,NEW_DISTRICT,1992,1992-01-01,YEAR,Papum Pare,Papum Pare,Arunachal Pradesh,Lower Subansiri,Papum Pare,20fec8578abc,1.00,CONFIRMED,149f2020-a4d9-4dff-a50f-44da4f58f1cd
029b70dc-ef7e-45b7-8a28-f815036b0677,1186f45163b1,SPLIT,1972,1972-01-01,YEAR,,,Haryana,Rohtak,,1186f45163b1,1.00,CONFIRMED,149f2020-a4d9-4dff-a50f-44da4f58f1cd
02cd6089-51cd-43d0-9c64-a967f6d14876,5f20d8e2bd1f,SPLIT,2015,2015-01-01,YEAR,Biswanath,Biswanath,Assam,Sonitpur,Biswanath,5f20d8e2bd1f,1.00,CONFIRMED,149f2020-a4d9-4dff-a50f-44da4f58f1cd
