relationship_id,event_id,from_ck,from_district,from_state,from_year,to_ck,to_district,to_state,to_year,relationship_type,evidence_type,confidence,relationship_status
14b9f21ef2e79ed01ec8a17c75cd865e,001b4f47-1e20-4917-98f6-b25a7138951c,,,,,,,,,,,,ACTIVE
cb327b4dbb4ecd44a0408aed409b7c04,0022f420-a92f-43f6-ab84-be7419e53e73,,,,,,,,,,,,ACTIVE
6daa2e868cbde73599487a1c77951fbd,00525c22-1a80-41d1-aa8b-bc70ed994752,IND-000364,Karnal,Haryana,1971,IND-000447,Kurukshetra,Haryana,1981,FORMED_FROM,,1.00,ACTIVE
b6fc4d8a3670c8c8a81c63323a2d958b,00772328-768d-49cb-84f3-f70debc83d68,,,,,,,,,,,,ACTIVE
475797d1a1256a55d54effa8a5629745,009aa08c-0639-4867-9e65-a4222fcedb37,IND-000108,Shahabad,Bihar,1971,IND-000432,Bhojpur,Bihar,1981,FORMED_FROM,,1.00,ACTIVE
58dcf99b93355eb7fdeb568cb53383be,00f07bb3-21fa-4456-820c-128f80d764ae,,,,,,,,,,,,ACTIVE
466020f9c8402670ca1634f4f0bfd1f5,00fd30f3-159b-4782-89b2-05a3f3e8e632,,,,,,,,,,,,ACTIVE
1be322729cc6940a5b5c8063e0b02119,010a97d3-a255-4fd8-a610-fa81e819f64c,IND-000143,Jammu and Kashmir,Jammu and Kashmir,1951,IND-000322,Ladakh,Jammu and Kashmir,1961,FORMED_FROM,,1.00,ACTIVE
bbe45f17f198221ce012e1e835a839e7,010b7fd8-bc16-4959-bb0c-5ad3acba19e5,,,,,,,,,,,,ACTIVE
2fbc23ce6b162995acaf8f79e5200cb3,0110aee8-99a8-4d53-b456-593c60f4a4d2,IND-000212,Malabar,Madras,1951,IND-000335,Kozhikode,Kerala,1961,SPLIT_FROM,,1.00,ACTIVE
2713455e49a84d071d82e1f11f8092cd,01c15e1c-06f7-4669-bba3-c4d9cd16f90f,,,,,,,,,,,,ACTIVE
0006baa8873ed145d009ffd27770fb91,0241db55-cbcc-471a-97c1-8fef3f4df2eb,,,,,,,,,,,,ACTIVE
154445888d8a52c637ab7b255fe186a7,02426a43-405f-4db0-b68f-ef5e75b9c7f9,,,,,,,,,,,,ACTIVE
f3be9cd8d6a4f330ca3ab6ee9518d234,02617eb3-e659-4a95-89bf-7b6abb75b754,,,,,,,,,,,,ACTIVE
4bd2d834fbfd4639f57d53b4f363139e,0271f61f-a9fe-43da-80e2-50c0b02ec05d,IND-000601,Lower Subansiri,Arunachal Pradesh,1991,IND-000600,Papum Pare,Arunachal Pradesh,2001,FORMED_FROM,,1.00,ACTIVE
11b22d130b75448f18a00d073d143d57,029b70dc-ef7e-45b7-8a28-f815036b0677,,,,,,,,,,,,ACTIVE
b65eb15021da7c2b323cf6e4e3968114,02cd6089-51cd-43d0-9c64-a967f6d14876,,,,,,,,,,,,ACTIVE
90b0f97924c048d8b3befd43631ba7b5,04af41e0-082f-4f6c-a530-5973f35c0b8d,IND-000816,,,,IND-000825,Siddipet,Telangana,2021,FORMED_FROM,,1.00,ACTIVE
671ffc6c541d92d8309d0b8b4fad50ab,04c1734d-f090-4535-81c8-a5bd38e42035,,,,,,,,,,,,ACTIVE
3ba8694821cf8950e3c7da288ca8b965,04ceb673-eba9-452a-8a7a-5905d00b86fc,,,,,,,,,,,,ACTIVE
6820fb4fa892899422a5cab993041c9a,052000a0-5d2d-4004-a184-0f61ac93f8a4,,,,,,,,,,,,ACTIVE
baa383470f8996e0c6996fb39730f51f,054634ab-1e42-4f94-9d46-10a2f83c9c4a,IND-000474,Deoria,Uttar_pradesh,1991,IND-000581,Kushinagar,Uttar Pradesh,2001,FORMED_FROM,,1.00,ACTIVE
5269de4c4b360fc72bb6919bc8c4787b,0585ef2a-050d-4878-8ec8-23abda9c4d40,IND-000503,,,,IND-000500,Changlang,Arunachal_pradesh,1991,FORMED_FROM,,1.00,ACTIVE
230fd1c5ea1e4920d9920e3c9e289cc8,05aab76a-c10e-49bb-a1ce-d80e199a29b2,IND-000360,Hazaribag,Bihar,1991,IND-000762,Hazaribagh,Jharkhand,2011,SPLIT_FROM,,1.00,ACTIVE
83d2d890a4166d3676779b4300fee680,05afed2e-bb89-49df-81de-7d1e6ae7e698,IND-000559,South West,Delhi,2011,IND-000556,New Delhi,Delhi,2021,FORMED_FROM,,1.00,ACTIVE
5195c3d92f2455d959f27eee719b05e4,05bbbd6d-38ea-483c-a8b6-ba9f8a0dca8c,,,,,,,,,,,,ACTIVE
4ed4148042d63332f44e802ab90f5945,05ec14fc-0900-4074-aae4-6f1d071a40f2,IND-000341,Tuensang,Nagaland,1971,IND-000402,Mon,Nagaland,1981,FORMED_FROM,,1.00,ACTIVE
533bc3fb6903b5cc76acda792f5c48cb,0615b53c-a108-4335-a439-b3f7515a7614,IND-000367,,,,IND-000368,Kulu,Himachal Pradesh,1971,FORMED_FROM,,1.00,ACTIVE
b6a4462e8abbc8be0c90810ae263ae33,06821f2f-ea96-45fc-b88e-17993bd3cf3f,,,,,,,,,,,,ACTIVE
4e5ade908548adb6517e2ea0e91552b5,068bbd76-ca45-4289-8de9-401677229cbf,,,,,,,,,,,,ACTIVE
b9967c69d48658b9f3c8f2ecec6fe908,06c0d543-b6fc-402a-9269-29f73641345d,,,,,,,,,,,,ACTIVE
222a5fff034aa8744748737a1b3177e6,06f2add2-617c-4513-a87c-0262e7941a82,,,,,,,,,,,,ACTIVE
1ef1ce0ea15306e5936b21763ddef5a5,073f6657-8245-4773-897c-51c868d87e52,,,,,,,,,,,,ACTIVE
aba696ca45bc2d470b724c5feabc35b6,07600426-793b-4f51-9864-292e8c8c1634,,,,,,,,,,,,ACTIVE
8a8c9e43824645ea4d3fbe9a0652414b,07672b87-cd01-4597-a8ad-9ccf125488cc,IND-000314,Jalpaiguri,West Bengal,2011,IND-000874,Alipurduar,West Bengal,2021,FORMED_FROM,,1.00,ACTIVE
7776bfa3458353ef1346e0f6889d73b0,078f48f0-e028-4080-9a5c-c8f2c1f08481,IND-000686,Valsad,Gujarat,1991,IND-000685,Navsari,Gujarat,2001,FORMED_FROM,,1.00,ACTIVE
190c8af05204d07513a12a2b149f4a8a,07c1b9ef-1b88-47ec-a73b-160c7a598866,IND-000841,Tikamgarh,Madhya Pradesh,2011,IND-000888,Niwari,Madhya Pradesh,2021,FORMED_FROM,,1.00,ACTIVE
a84fba005f00cf9b1828c6a0adda90fc,07c51b37-67b3-427b-b6c9-707dbe1c083a,,,,,,,,,,,,ACTIVE
391988d4a169d10ff27859ab78cf9277,07c6c190-c97b-4720-bdf9-c1c3fed2965e,,,,,,,,,,,,ACTIVE
272f78bfede9feea7a700fdb089bc21a,07e4cab3-7f35-471e-b3cc-b070ae8f90eb,IND-000231,Phulabani,Orissa,1991,IND-000644,Baudh,Orissa,2001,FORMED_FROM,,1.00,ACTIVE
56e250a2c36f96998c8562280cae8dee,07f4de91-4b08-4313-8d25-490d83e9a6ba,,,,,,,,,,,,ACTIVE
8001b22b8f7921739c9c1aaf3363dca9,08126cfb-ac02-4539-b0a9-341f79057b68,IND-000753,Chandel,Manipur,2011,IND-000871,Tengnoupal,Manipur,2021,FORMED_FROM,,1.00,ACTIVE
783ec02463813041a04cfac70b6af82a,089f4409-b14d-4cdb-89dc-78819baa9a33,IND-000117,Purnea,Bihar,1961,IND-000359,Purnia,Bihar,1981,SPLIT_FROM,,1.00,ACTIVE
ff7c00fe2ed6979685d0e904a202e64a,08ba2767-5a0e-4f5b-8b41-80d83960d2bd,IND-000131,Tripura,Tripura,1961,IND-000354,North Tripura,Tripura,1971,SPLIT_FROM,,1.00,ACTIVE
6c2f743c65f380134c758e28fd9168fd,08fbbcc1-9b01-4f23-bd57-47cca900d702,IND-000318,Mokokchung,Nagaland,1971,IND-000400,Zunheboto,Nagaland,1981,FORMED_FROM,,1.00,ACTIVE
63b7192ed2841f9a443b5cfa6f829ba0,090a2a30-449d-4d44-b174-6d916b2f8a49,IND-000117,Purnea,Bihar,1961,IND-000444,Katihar,Bihar,1981,FORMED_FROM,,1.00,ACTIVE
1418b20dbc0591cb36a62db7e322378c,090cd293-9588-4266-a8e8-4187f57e0dd0,IND-000360,Hazaribag,Bihar,1991,IND-000623,Chatra,Jharkhand,2001,FORMED_FROM,,1.00,ACTIVE
60dfdddae747e637c46f3888fd7ec696,091cf6ff-fb4c-4670-8e44-0333ee33ab19,,,,,,,,,,,,ACTIVE
fefe676ac6b9025b33317388c823b0f0,094b5618-692d-42f3-95af-11a67cf687dd,,,,,,,,,,,,ACTIVE
931bead6c85b21308932cd2052f9097e,0971cd6b-f135-47f8-b914-ce14659a2d82,,,,,,,,,,,,ACTIVE
5a9fe0f706aeecd6457b847f265b3821,09924361-de6d-4cfb-a5f8-ec18340a9525,IND-000811,,,,IND-000822,Rajanna Sircilla,Telangana,2021,FORMED_FROM,,1.00,ACTIVE
d17b10331b9a435445d7c40be4130798,099a3a41-8311-4035-ab39-ba8031b0a7c6,,,,,,,,,,,,ACTIVE
49919ad9a5960b73f4f530df9935bf20,09dca6c3-ba5b-4a46-a4cf-84d5c3cd98df,,,,,,,,,,,,ACTIVE
2937ca1d1440b4e1fda28a53b8ceff8c,0a2928b3-9b6b-450a-b9c3-b71472e1d830,,,,,,,,,,,,ACTIVE
7b499c9f45cd84a2105fac2454854dc4,0aab1525-5678-4cdc-b99a-5d8c63bcd364,IND-000317,Jammu,Jammu and Kashmir,2001,IND-000731,Samba,Jammu and Kashmir,2011,FORMED_FROM,,1.00,ACTIVE
8840bc0e7d3271946c202275681723e4,0ac53694-1003-43f9-b130-fd008e1394df,,,,,,,,,,,,ACTIVE
936eb886a3e65d9bae0a4e9ef4668c8f,0ad75e94-a14b-467d-820b-a25c432e4e5b,,,,,,,,,,,,ACTIVE
86adb9e84d10d7176dd9a8c701a19c69,0add88ea-b4f2-418b-a228-dc650b58d9be,,,,,,,,,,,,ACTIVE
4b94c3238a96b6e88292b3efe5ff614c,0aee44d9-4a09-44d0-b5f5-6706cbbe1d8c,IND-000124,Singhbhum,Bihar,1971,IND-000632,Purbi Singhbhum,Jharkhand,2001,FORMED_FROM,,1.00,ACTIVE
8f898fa115b3a0f5461af45198246aec,0b064fac-c400-4023-b045-5c3e1e5f3b29,,,,,,,,,,,,ACTIVE
360d6bcf22c67aa89afe7d987f51b0ed,0b440c4d-9646-4b09-9862-97c102098b57,,,,,,,,,,,,ACTIVE
5f6186990add620e38986bed087cd879,0b509387-7355-43b5-9ba0-d81eae13ad22,IND-000116,Delhi,Delhi,1991,IND-000595,North,Sikkim,2001,FORMED_FROM,,1.00,ACTIVE
64bdd15a5cee213894cc3d5297eb8d81,0b71a670-920d-4278-b014-d7a5c5f35fc4,IND-000602,Upper Subansiri,Arunachal Pradesh,2011,IND-000890,Kamle,Arunachal Pradesh,2021,FORMED_FROM,,1.00,ACTIVE
efe909286b693682d7365b67a0f9eb7e,0bcacd7a-a116-4224-90c4-ee028f75d1cb,,,,,,,,,,,,ACTIVE
ca14acc028e19924d3fbca6b1750e803,0c159886-6d3a-4135-b0cd-d8765ac2f5bc,,,,,,,,,,,,ACTIVE
c3702a52899c77f1f2ecea6aaa92aa2c,0c54624c-1cc8-4cb8-8306-edc8451a5426,,,,,,,,,,,,ACTIVE
2fa5430e3ea0628644ebcdb81ab2f801,0c6f5af7-4864-4f6f-ab43-4a238fcd36f0,,,,,,,,,,,,ACTIVE
944ca3c8a1d273c138bc4a4ac9a3cdad,0c94727f-67d3-42bf-83f8-ae68070d8839,,,,,,,,,,,,ACTIVE
09829aaa8f31aaa3d15cbd50015f9dbc,0cdca7d0-0c22-40aa-9b75-1dfae314cd0d,,,,,,,,,,,,ACTIVE
6bd956e2a4875e6537844f9261cb403b,0ce84210-38a0-40fb-8cc4-4f9f08d3d343,IND-000697,Bijapur,Karnataka,1981,IND-000696,Bagalkot,Karnataka,2001,FORMED_FROM,,1.00,ACTIVE
