relationship_id,event_id,from_ck,to_ck,from_year,to_year,effective_year,from_area_km2,to_area_km2,area_transferred_km2,area_received_km2,area_relinquished_km2,area_retained_km2,unaccounted_area_km2,intersection_area_km2,overlap_area_km2,raw_area_weight,statistical_weight,coverage_score,overlap_excess,measurement_status,crosswalk_status,area_measurement_method,normalization_method,distribution_assumption,evidence_type,confidence
14b9f21ef2e79ed01ec8a17c75cd865e,001b4f47-1e20-4917-98f6-b25a7138951c,,,,,2022,,,,,,0.0,,,0.0,,,,,UNMEASURED,UNMEASURED,,,,,
cb327b4dbb4ecd44a0408aed409b7c04,0022f420-a92f-43f6-ab84-be7419e53e73,,,,,1954,,,,,,0.0,,,0.0,,,,,UNMEASURED,UNMEASURED,,,,,
6daa2e868cbde73599487a1c77951fbd,00525c22-1a80-41d1-aa8b-bc70ed994752,IND-000364,IND-000447,1971,1981,1973,7765.213542005201,3945.507444718086,3945.4587274148444,3945.4587274148444,3945.4587274148444,3819.800352357889,-0.04553776753255079,3945.4587274148444,4194.609274177213,0.508094040952287,0.32989274072491975,1.0,0.5401795136073031,MEASURED,MEASURED_NORMALIZED,AREA_WEIGHTED,PROPORTIONAL_APPORTIONMENT,Weights normalized (pre-normalization sum=1.540) due to overlapping target geometries detected in crosswalk_errors,,1.00
b6fc4d8a3670c8c8a81c63323a2d958b,00772328-768d-49cb-84f3-f70debc83d68,,,,,1951,,,,,,,,,,,,,,NON_SPATIAL,NON_SPATIAL,,,,,
475797d1a1256a55d54effa8a5629745,009aa08c-0639-4867-9e65-a4222fcedb37,IND-000108,IND-000432,1971,1981,1972,11320.00803793858,4094.9306682466026,4094.8693752859585,4094.8693752859585,4094.8693752859585,0.0,7225.138662652622,4094.8693752859585,5046.386733510034,0.36173732046498186,0.2501998413498806,1.0,0.4457935645096063,MEASURED,MEASURED_NORMALIZED,AREA_WEIGHTED,PROPORTIONAL_APPORTIONMENT,Weights normalized (pre-normalization sum=1.446) due to overlapping target geometries detected in crosswalk_errors,,1.00
58dcf99b93355eb7fdeb568cb53383be,00f07bb3-21fa-4456-820c-128f80d764ae,,,,,1953,,,,,,0.0,,,0.0,,,,,UNMEASURED,UNMEASURED,,,,,
466020f9c8402670ca1634f4f0bfd1f5,00fd30f3-159b-4782-89b2-05a3f3e8e632,,,,,1973,,,,,,0.0,,,0.0,,,,,UNMEASURED,UNMEASURED,,,,,
1be322729cc6940a5b5c8063e0b02119,010a97d3-a255-4fd8-a610-fa81e819f64c,IND-000143,IND-000322,1951,1961,1956,,96362.68229164062,,,,,,,,,,0.0,,UNMEASURED,UNMEASURED,UNMEASURED,NONE,No geometric data available for this lineage pair,,1.00
bbe45f17f198221ce012e1e835a839e7,010b7fd8-bc16-4959-bb0c-5ad3acba19e5,,,,,2022,,,,,,0.0,,,0.0,,,,,UNMEASURED,UNMEASURED,,,,,
2fbc23ce6b162995acaf8f79e5200cb3,0110aee8-99a8-4d53-b456-593c60f4a4d2,IND-000212,IND-000335,1951,1961,1957,12789.189098051245,6574.145904678048,6573.846948370346,6573.846948370346,6573.846948370346,0.0,6215.3421496809,6573.846948370346,4950.938214913609,0.5140159315786516,0.3705636849384977,1.0,0.3871190094192922,MEASURED,MEASURED_NORMALIZED,AREA_WEIGHTED,PROPORTIONAL_APPORTIONMENT,Weights normalized (pre-normalization sum=1.387) due to overlapping target geometries detected in crosswalk_errors,,1.00
2713455e49a84d071d82e1f11f8092cd,01c15e1c-06f7-4669-bba3-c4d9cd16f90f,,,,,2008,,,,,,0.0,,,0.0,,,,,UNMEASURED,UNMEASURED,,,,,
