event_id,event_type,source_ck,target_ck,measurement_status,failure_categories,primary_failure,audit_reason
00772328-768d-49cb-84f3-f70debc83d68,RENAME,IND-000047,,UNMEASURED,TEMPORAL_MISMATCH;PARENT_AREA_MISSING,TEMPORAL_MISMATCH,TEMPORAL_MISMATCH; PARENT_AREA_MISSING
1ca19213-d6bb-4419-8b30-398ab1b32104,RENAME,IND-000045,,UNMEASURED,TEMPORAL_MISMATCH;PARENT_AREA_MISSING,TEMPORAL_MISMATCH,TEMPORAL_MISMATCH; PARENT_AREA_MISSING
2aa448d7-f68c-431c-b59b-8a3982b50a54,RENAME,IND-000046,,UNMEASURED,TEMPORAL_MISMATCH;PARENT_AREA_MISSING,TEMPORAL_MISMATCH,TEMPORAL_MISMATCH; PARENT_AREA_MISSING
3d37b4d2-4751-4b84-95b9-c2316880a586,RENAME,IND-000170,,UNMEASURED,TEMPORAL_MISMATCH;PARENT_AREA_MISSING,TEMPORAL_MISMATCH,TEMPORAL_MISMATCH; PARENT_AREA_MISSING
4fd6b9a7-8c48-4c28-b0c1-5d8d5bff7773,RENAME,IND-000172,,UNMEASURED,TEMPORAL_MISMATCH;PARENT_AREA_MISSING,TEMPORAL_MISMATCH,TEMPORAL_MISMATCH; PARENT_AREA_MISSING
5683bf92-3d90-4d68-978e-8387bc498e05,RENAME,IND-000231,,UNMEASURED,TEMPORAL_MISMATCH;PARENT_AREA_MISSING,TEMPORAL_MISMATCH,TEMPORAL_MISMATCH; PARENT_AREA_MISSING
5f6308cf-31d8-4324-9ba0-17fa27c38053,RENAME,IND-000025,,UNMEASURED,TEMPORAL_MISMATCH;PARENT_AREA_MISSING,TEMPORAL_MISMATCH,TEMPORAL_MISMATCH; PARENT_AREA_MISSING
67b154f7-67b4-4e9f-95bd-72532e9ed46b,RENAME,IND-000093,,UNMEASURED,TEMPORAL_MISMATCH;PARENT_AREA_MISSING,TEMPORAL_MISMATCH,TEMPORAL_MISMATCH; PARENT_AREA_MISSING
7783e4cf-3f2d-4c91-ace7-feeb6a0558f1,RENAME,IND-000158,,UNMEASURED,TEMPORAL_MISMATCH;PARENT_AREA_MISSING,TEMPORAL_MISMATCH,TEMPORAL_MISMATCH; PARENT_AREA_MISSING
8f13355e-f5ce-4b55-b28b-faa65c10b684,RENAME,IND-000163,,UNMEASURED,TEMPORAL_MISMATCH;PARENT_AREA_MISSING,TEMPORAL_MISMATCH,TEMPORAL_MISMATCH; PARENT_AREA_MISSING
92f1eb5c-790f-49d2-8094-f78c873fa489,RENAME,IND-000028,,UNMEASURED,TEMPORAL_MISMATCH;PARENT_AREA_MISSING,TEMPORAL_MISMATCH,TEMPORAL_MISMATCH; PARENT_AREA_MISSING
98a73940-ec0f-4114-8e9b-899ff0b6baa9,RENAME,IND-000159,IND-000688,UNMEASURED,TEMPORAL_MISMATCH;PARENT_AREA_MISSING,TEMPORAL_MISMATCH,TEMPORAL_MISMATCH; PARENT_AREA_MISSING
9a973c3a-bd47-4310-a819-c6b1c9a42de8,RENAME,IND-000038,,UNMEASURED,TEMPORAL_MISMATCH;PARENT_AREA_MISSING,TEMPORAL_MISMATCH,TEMPORAL_MISMATCH; PARENT_AREA_MISSING
9cafbae0-d284-4c9b-a636-20e759a47834,RENAME,IND-000221,IND-000352,UNMEASURED,TEMPORAL_MISMATCH;PARENT_AREA_MISSING,TEMPORAL_MISMATCH,TEMPORAL_MISMATCH; PARENT_AREA_MISSING
a0981562-6ea9-46e8-9789-bd3a2cb24d54,RENAME,,IND-000778,UNMEASURED,TEMPORAL_MISMATCH;IDENTITY_UNCERTAINTY;PARENT_AREA_MISSING,TEMPORAL_MISMATCH,TEMPORAL_MISMATCH; IDENTITY_UNCERTAINTY; PARENT_AREA_MISSING
b2b20add-3b4d-4d3e-848e-f576c167a7d7,RENAME,IND-000026,,UNMEASURED,TEMPORAL_MISMATCH;PARENT_AREA_MISSING,TEMPORAL_MISMATCH,TEMPORAL_MISMATCH; PARENT_AREA_MISSING
c86c4cc0-13b5-4e77-8fa1-57a5f2aa1489,RENAME,IND-000094,,UNMEASURED,TEMPORAL_MISMATCH;PARENT_AREA_MISSING,TEMPORAL_MISMATCH,TEMPORAL_MISMATCH; PARENT_AREA_MISSING
dd2bb1a2-6916-4690-8a3c-783d0be2c696,RENAME,,IND-000305,UNMEASURED,TEMPORAL_MISMATCH;IDENTITY_UNCERTAINTY;PARENT_AREA_MISSING,TEMPORAL_MISMATCH,TEMPORAL_MISMATCH; IDENTITY_UNCERTAINTY; PARENT_AREA_MISSING
dfe181f5-050f-4251-b4bf-e04b984dbc9e,RENAME,IND-000096,,UNMEASURED,TEMPORAL_MISMATCH;PARENT_AREA_MISSING,TEMPORAL_MISMATCH,TEMPORAL_MISMATCH; PARENT_AREA_MISSING
eae6dfbd-611e-4097-ba85-69fbe8d6c5d4,RENAME,IND-000095,,UNMEASURED,TEMPORAL_MISMATCH;PARENT_AREA_MISSING,TEMPORAL_MISMATCH,TEMPORAL_MISMATCH; PARENT_AREA_MISSING
fde82ee8-18d0-44de-86f9-93c9b4fdf302,RENAME,,IND-000584,UNMEASURED,TEMPORAL_MISMATCH;IDENTITY_UNCERTAINTY;PARENT_AREA_MISSING,TEMPORAL_MISMATCH,TEMPORAL_MISMATCH; IDENTITY_UNCERTAINTY; PARENT_AREA_MISSING
1874ef8b-25d0-490f-8e58-e6d9c2926679,CARVE_OUT,IND-000186,IND-000912,UNMEASURED,TARGET_AREA_MISSING,TARGET_AREA_MISSING,TARGET_AREA_MISSING
